englishName,displayName,plantCouncilName,pcQuality,wholeSaleName,kind,varieties,type,whQaulity,Improted,image
Peaches Oded,אפרסקים עודד,,,אפרסקים עודד ק' 5.5,אפרסקים,,עודד ק' 5.5,קוטר 5.5,,45
Peaches Oded,אפרסקים עודד,,,אפרסקים עודד ק' 6,אפרסקים,,עודד ק' 6,קוטר 6,,46
Peaches Oded,אפרסקים עודד,,,אפרסקים עודד ק' 6.5,אפרסקים,,עודד ק' 6.5,קוטר 6.5,,47
Peaches Oded,אפרסקים עודד,,,אפרסקים עודד ק' 7,אפרסקים,,עודד ק' 7,קוטר 7,,48
Peaches Summer snow,אפרסקים סמר סנו,,,אפרסקים סמר סנו ק' 6,אפרסקים,,סמר סנו ק' 6,קוטר 6,,49
Peaches Summer snow,אפרסקים סמר סנו,,,אפרסקים סמר סנו ק' 6.5,אפרסקים,,סמר סנו ק' 6.5,קוטר 6.5,,50
Peaches Summer snow,אפרסקים סמר סנו,,,אפרסקים סמר סנו ק' 7,אפרסקים,,סמר סנו ק' 7,קוטר 7,,51
Peaches Summer snow,אפרסקים סמר סנו,,,אפרסקים ק' 7.5,אפרסקים,,ק' 7.5,קוטר 7.5,,52
Peaches Suger lady,אפרסקים שוגר ליידי,,,אפרסקים שוגר ליידי6,אפרסקים,,שוגר ליידי 6,קןטר6,,53
Peaches Suger lady,אפרסקים שוגר ליידי,,,אפרסקים שוגר ליידי6.5,אפרסקים,,שוגר ליידי 6.5,קוטר 6.5,,54
Peaches Suger lady,אפרסקים שוגר ליידי,,,אפרסקים שוגר ליידי ק7,אפרסקים,,שוגר ליידי ק7,קוטר 7,,55
Peaches Suger lady,אפרסקים שוגר ליידי,,,אפרסקים שוגר ליידי ק7.5,אפרסקים,,שוגר ליידי ק7.5,קוטר 7.5,,56
Peaches 1881,אפרסקים1881,,,אפרסקים1881ק' 6,אפרסקים,,1881 ק' 6,קןטר 6,,57
Peaches 1881,אפרסקים1881,,,אפרסקים1881ק' 6.5,אפרסקים,,1881 ק' 6.5,קוטר 6.5,,58
Peaches 1881,אפרסקים1881,,,אפרסקים1881ק' 7,אפרסקים,,1881 ק' 7,קוטר 7,,59
Peaches 1880,אפרסקים1880,,,אפרסקים1880ק' 6,אפרסקים,,1880 ק' 6,קוטר 6,,60
