תאריך,שם ירק,סוג א,מובחר
31/12/2013,עגבניות חממה ,7.2,7.5
31/12/2013,עגבניות באשכולות ,7.5,8
31/12/2013,עגבניות שרי באשכולות,9.6,10
31/12/2013,"תפוא""ד שקים",4.2,4.4
31/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
31/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
31/12/2013,"תפוא""ד אדום בשקים",4.8,5
31/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
31/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
31/12/2013,גזר בשקים,1.8,2
31/12/2013,גזר באריזה קמעונאית,2.2,2.4
31/12/2013,בצל ריברסייד,3.2,3.6
31/12/2013,בצל אדום,4.4,4.6
31/12/2013,בצל בית אלפא,2,2.4
31/12/2013,שום,20,
31/12/2013,פלפל ירוק מזני בלוקי,4.6,5
31/12/2013,פלפל בהיר,6,6.5
31/12/2013,פלפל אדום איכות מעולה,5.2,5.6
31/12/2013,פלפל כתום,7,7.5
31/12/2013,פלפל צהוב איכות מעולה,5.6,6
31/12/2013,פלפל חריף,7,
31/12/2013,חציל חממה ,10,11
31/12/2013,מלפפון חממה ,6.8,
31/12/2013,כרוב לבן,6,
31/12/2013,כרוב אדום,7,
31/12/2013,שומר,7,
31/12/2013,כרובית,6.2,7
31/12/2013,קישואים איכות מעולה,10,11
31/12/2013,חסה 8 יחידות,40,42
31/12/2013,מילון גליה מעולה,6,7
31/12/2013,מילון כתום,5.5,6
31/12/2013,צנון,4.4,
31/12/2013,סלק איכות מעולה,3.8,
31/12/2013,לפת איכות מעולה,5.5,
31/12/2013,דלעת,3,
31/12/2013,דלורית,4,
31/12/2013,בטטות,3.5,
31/12/2013,בטטות איכות מעולה,5.5,6
31/12/2013,ברוקולי באריזה קמעונאית,14,
31/12/2013,קולורבי איכות מעולה,7.5,
31/12/2013,שעועית ירוקה,12,
31/12/2013,לוף,7.6,8.6
31/12/2013,בצל ירוק,7,
31/12/2013,תירס באריזה קמעונאית,6.5,7
31/12/2013,ארטישוק,14,15
30/12/2013,עגבניות חממה ,7.2,7.5
30/12/2013,עגבניות באשכולות ,7.5,8
30/12/2013,עגבניות שרי באשכולות,9.2,9.5
30/12/2013,"תפוא""ד שקים",4.2,4.4
30/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
30/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
30/12/2013,"תפוא""ד אדום בשקים",4.8,5
30/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
30/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
30/12/2013,גזר בשקים,1.8,2
30/12/2013,גזר באריזה קמעונאית,2.2,2.4
30/12/2013,בצל ריברסייד,3.2,3.6
30/12/2013,בצל אדום,4.4,4.6
30/12/2013,בצל בית אלפא,2,2.2
30/12/2013,שום,20,
30/12/2013,פלפל ירוק מזני בלוקי,4.2,4.5
30/12/2013,פלפל בהיר,5.6,6
30/12/2013,פלפל אדום איכות מעולה,4.8,5.2
30/12/2013,פלפל כתום,6.5,7
30/12/2013,פלפל צהוב איכות מעולה,5.2,5.6
30/12/2013,פלפל חריף,7,
30/12/2013,חציל חממה ,9.6,10
30/12/2013,מלפפון חממה ,4,
30/12/2013,כרוב לבן,5.4,
30/12/2013,כרוב אדום,6.7,
30/12/2013,שומר,6,
30/12/2013,כרובית,5.8,6.5
30/12/2013,קישואים איכות מעולה,9,10
30/12/2013,חסה 8 יחידות,40,42
30/12/2013,מילון גליה מעולה,6,7
30/12/2013,מילון כתום,5.5,6
30/12/2013,צנון,4,
30/12/2013,סלק איכות מעולה,3.8,
30/12/2013,לפת איכות מעולה,5,
30/12/2013,דלעת,3,
30/12/2013,דלורית,3.5,
30/12/2013,בטטות,3.5,
30/12/2013,בטטות איכות מעולה,5.5,6
30/12/2013,ברוקולי באריזה קמעונאית,14,
30/12/2013,קולורבי איכות מעולה,7,
30/12/2013,שעועית ירוקה,12,
30/12/2013,לוף,7.6,8.6
30/12/2013,בצל ירוק,6.5,
30/12/2013,תירס באריזה קמעונאית,6.5,7
30/12/2013,ארטישוק,14,15
29/12/2013,עגבניות חממה ,8,8.4
29/12/2013,עגבניות באשכולות ,8.2,8.5
29/12/2013,עגבניות שרי באשכולות,8.8,9.2
29/12/2013,"תפוא""ד שקים",4.2,4.4
29/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
29/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
29/12/2013,"תפוא""ד אדום בשקים",4.8,5
29/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
29/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
29/12/2013,גזר בשקים,1.8,2
29/12/2013,גזר באריזה קמעונאית,2.2,2.4
29/12/2013,בצל ריברסייד,3.2,3.6
29/12/2013,בצל אדום,4.4,4.6
29/12/2013,בצל בית אלפא,2,2.2
29/12/2013,שום,20,
29/12/2013,פלפל ירוק מזני בלוקי,4.2,4.5
29/12/2013,פלפל בהיר,5.6,6
29/12/2013,פלפל אדום איכות מעולה,4.6,5
29/12/2013,פלפל כתום,6.2,6.6
29/12/2013,פלפל צהוב איכות מעולה,5,5.5
29/12/2013,פלפל חריף,7,
29/12/2013,חציל חממה ,9.6,10
29/12/2013,מלפפון חממה ,3,
29/12/2013,כרוב לבן,5,
29/12/2013,כרוב אדום,6.5,
29/12/2013,שומר,5,
29/12/2013,כרובית,5.5,6.5
29/12/2013,קישואים איכות מעולה,10,11
29/12/2013,חסה 8 יחידות,40,42
29/12/2013,מילון גליה מעולה,6,7
29/12/2013,מילון כתום,5.5,6
29/12/2013,צנון,3.5,
29/12/2013,סלק איכות מעולה,3.6,
29/12/2013,לפת איכות מעולה,4.5,
29/12/2013,דלעת,3,
29/12/2013,דלורית,3.5,
29/12/2013,בטטות,3.5,
29/12/2013,בטטות איכות מעולה,5.5,6
29/12/2013,ברוקולי באריזה קמעונאית,14,
29/12/2013,קולורבי איכות מעולה,6.5,
29/12/2013,שעועית ירוקה,12,
29/12/2013,לוף,7.6,8.6
29/12/2013,בצל ירוק,6,
29/12/2013,תירס באריזה קמעונאית,6.5,7
29/12/2013,ארטישוק,14,15
26/12/2013,עגבניות חממה ,8,8.4
26/12/2013,עגבניות באשכולות ,8.2,8.5
26/12/2013,עגבניות שרי באשכולות,8.2,8.5
26/12/2013,"תפוא""ד שקים",4.2,4.4
26/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
26/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
26/12/2013,"תפוא""ד אדום בשקים",4.8,5
26/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
26/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
26/12/2013,גזר בשקים,1.8,2
26/12/2013,גזר באריזה קמעונאית,2.2,2.4
26/12/2013,בצל ריברסייד,3.6,3.8
26/12/2013,בצל אדום,4.4,4.6
26/12/2013,בצל בית אלפא,2.4,2.6
26/12/2013,שום,20,
26/12/2013,פלפל ירוק מזני בלוקי,4,4.4
26/12/2013,פלפל בהיר,5.2,5.5
26/12/2013,פלפל אדום איכות מעולה,4.6,5
26/12/2013,פלפל כתום,6,6.5
26/12/2013,פלפל צהוב איכות מעולה,4.6,5
26/12/2013,פלפל חריף,7,
26/12/2013,חציל חממה ,8.8,9.2
26/12/2013,מלפפון חממה ,6.5,
26/12/2013,כרוב לבן,4.2,
26/12/2013,כרוב אדום,6,
26/12/2013,שומר,4.5,
26/12/2013,כרובית,5.5,6.5
26/12/2013,קישואים איכות מעולה,12,13
26/12/2013,חסה 8 יחידות,36,38
26/12/2013,מילון גליה מעולה,6,7
26/12/2013,מילון כתום,5.5,6
26/12/2013,צנון,3,
26/12/2013,סלק איכות מעולה,3.5,
26/12/2013,לפת איכות מעולה,4.5,
26/12/2013,דלעת,3,
26/12/2013,דלורית,3.5,
26/12/2013,בטטות,3.5,
26/12/2013,בטטות איכות מעולה,5.5,6
26/12/2013,ברוקולי באריזה קמעונאית,14,
26/12/2013,קולורבי איכות מעולה,6,
26/12/2013,שעועית ירוקה,12,
26/12/2013,לוף,7.6,8.6
26/12/2013,בצל ירוק,4.5,
26/12/2013,תירס באריזה קמעונאית,6.5,7
26/12/2013,ארטישוק,14,15
25/12/2013,עגבניות חממה ,8,8.4
25/12/2013,עגבניות באשכולות ,8.2,8.5
25/12/2013,עגבניות שרי באשכולות,7.6,8
25/12/2013,"תפוא""ד שקים",4.2,4.4
25/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
25/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
25/12/2013,"תפוא""ד אדום בשקים",4.8,5
25/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
25/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
