תאריך,שם ירק,סוג א,מובחר
25/12/2013,גזר בשקים,1.8,2
25/12/2013,גזר באריזה קמעונאית,2.2,2.4
25/12/2013,בצל ריברסייד,3.6,3.8
25/12/2013,בצל אדום,4.4,4.6
25/12/2013,בצל בית אלפא,2.4,2.6
25/12/2013,שום,20,
25/12/2013,פלפל ירוק מזני בלוקי,4,4.4
25/12/2013,פלפל בהיר,4.8,5.2
25/12/2013,פלפל אדום איכות מעולה,4.6,5
25/12/2013,פלפל כתום,6,6.5
25/12/2013,פלפל צהוב איכות מעולה,4.6,5
25/12/2013,פלפל חריף,5,
25/12/2013,חציל חממה ,8.2,8.5
25/12/2013,מלפפון חממה ,7.8,
25/12/2013,כרוב לבן,4.6,
25/12/2013,כרוב אדום,6,
25/12/2013,שומר,4,
25/12/2013,כרובית,6,7
25/12/2013,קישואים איכות מעולה,12,13
25/12/2013,חסה 8 יחידות,36,38
25/12/2013,מילון גליה מעולה,6,7
25/12/2013,מילון כתום,5.5,6
25/12/2013,צנון,2.8,
25/12/2013,סלק איכות מעולה,3,
25/12/2013,לפת איכות מעולה,4,
25/12/2013,דלעת,3,
25/12/2013,דלורית,3.5,
25/12/2013,בטטות,3.5,
25/12/2013,בטטות איכות מעולה,5.5,6
25/12/2013,ברוקולי באריזה קמעונאית,14,
25/12/2013,קולורבי איכות מעולה,5.5,
25/12/2013,שעועית ירוקה,12,
25/12/2013,לוף,7.6,8.6
25/12/2013,בצל ירוק,4.5,
25/12/2013,תירס באריזה קמעונאית,6.5,7
25/12/2013,ארטישוק,13,14
24/12/2013,עגבניות חממה ,7,8
24/12/2013,עגבניות באשכולות ,7.5,8.5
24/12/2013,עגבניות שרי באשכולות,7,7.5
24/12/2013,"תפוא""ד שקים",4.2,4.4
24/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
24/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
24/12/2013,"תפוא""ד אדום בשקים",4.8,5
24/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
24/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
24/12/2013,גזר בשקים,1.8,2
24/12/2013,גזר באריזה קמעונאית,2.2,2.4
24/12/2013,בצל ריברסייד,3.6,3.8
24/12/2013,בצל אדום,4.4,4.6
24/12/2013,בצל בית אלפא,2.4,2.6
24/12/2013,שום,20,
24/12/2013,פלפל ירוק מזני בלוקי,4,4.4
24/12/2013,פלפל בהיר,4.8,5.2
24/12/2013,פלפל אדום איכות מעולה,4.6,5
24/12/2013,פלפל כתום,6,6.5
24/12/2013,פלפל צהוב איכות מעולה,4.6,5
24/12/2013,פלפל חריף,3.5,
24/12/2013,חציל חממה ,7.6,8
24/12/2013,מלפפון חממה ,8.2,
24/12/2013,כרוב לבן,4.6,
24/12/2013,כרוב אדום,6,
24/12/2013,שומר,4,
24/12/2013,כרובית,5,5.5
24/12/2013,קישואים איכות מעולה,12,13
24/12/2013,חסה 8 יחידות,36,38
24/12/2013,מילון גליה מעולה,6,7
24/12/2013,מילון כתום,5.5,6
24/12/2013,צנון,2.5,
24/12/2013,סלק איכות מעולה,3,
24/12/2013,לפת איכות מעולה,4,
24/12/2013,דלעת,3,
24/12/2013,דלורית,3.5,
24/12/2013,בטטות,3.5,
24/12/2013,בטטות איכות מעולה,5.5,6
24/12/2013,ברוקולי באריזה קמעונאית,13,
24/12/2013,קולורבי איכות מעולה,5.5,
24/12/2013,שעועית ירוקה,10,
24/12/2013,לוף,7.6,8.6
24/12/2013,בצל ירוק,4.5,
24/12/2013,תירס באריזה קמעונאית,6.5,7
24/12/2013,ארטישוק,13,14
23/12/2013,עגבניות חממה ,6,6.5
23/12/2013,עגבניות באשכולות ,6.5,7
23/12/2013,עגבניות שרי באשכולות,6.4,6.8
23/12/2013,"תפוא""ד שקים",4.2,4.4
23/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
23/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
23/12/2013,"תפוא""ד אדום בשקים",4.8,5
23/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
23/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
23/12/2013,גזר בשקים,1.8,2
23/12/2013,גזר באריזה קמעונאית,2.2,2.4
23/12/2013,בצל ריברסייד,3.6,3.8
23/12/2013,בצל אדום,4.4,4.6
23/12/2013,בצל בית אלפא,2.4,2.6
23/12/2013,שום,20,
23/12/2013,פלפל ירוק מזני בלוקי,4,4.4
23/12/2013,פלפל בהיר,4.8,5.2
23/12/2013,פלפל אדום איכות מעולה,4.6,5
23/12/2013,פלפל כתום,6,6.5
23/12/2013,פלפל צהוב איכות מעולה,4.6,5
23/12/2013,פלפל חריף,3,
23/12/2013,חציל חממה ,7.4,7.8
23/12/2013,מלפפון חממה ,9,
23/12/2013,כרוב לבן,4.2,
23/12/2013,כרוב אדום,6,
23/12/2013,שומר,4,
23/12/2013,כרובית,4.5,5
23/12/2013,קישואים איכות מעולה,11,12
23/12/2013,חסה 8 יחידות,36,38
23/12/2013,מילון גליה מעולה,6,7
23/12/2013,מילון כתום,5.5,6
23/12/2013,צנון,3,
23/12/2013,סלק איכות מעולה,3.5,
23/12/2013,לפת איכות מעולה,4.5,
23/12/2013,דלעת,3,
23/12/2013,דלורית,3.5,
23/12/2013,בטטות,3.5,
23/12/2013,בטטות איכות מעולה,5.5,6
23/12/2013,ברוקולי באריזה קמעונאית,13,
23/12/2013,קולורבי איכות מעולה,5,
23/12/2013,שעועית ירוקה,12,
23/12/2013,לוף,7.6,8.6
23/12/2013,בצל ירוק,4.5,
23/12/2013,תירס באריזה קמעונאית,6.5,7
23/12/2013,ארטישוק,10.5,11
22/12/2013,עגבניות חממה ,4.6,5
22/12/2013,עגבניות באשכולות ,5.2,5.5
22/12/2013,עגבניות שרי באשכולות,6,6.4
22/12/2013,"תפוא""ד שקים",4.2,4.4
22/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
22/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
22/12/2013,"תפוא""ד אדום בשקים",4.8,5
22/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
22/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
22/12/2013,גזר בשקים,1.8,2
22/12/2013,גזר באריזה קמעונאית,2.2,2.4
22/12/2013,בצל ריברסייד,3.6,3.8
22/12/2013,בצל אדום,4.4,4.6
22/12/2013,בצל בית אלפא,2.6,2.8
22/12/2013,שום,20,
22/12/2013,פלפל ירוק מזני בלוקי,4,4.4
22/12/2013,פלפל בהיר,4.8,5.2
22/12/2013,פלפל אדום איכות מעולה,4.6,5
22/12/2013,פלפל כתום,5.6,6
22/12/2013,פלפל צהוב איכות מעולה,4.6,5
22/12/2013,פלפל חריף,3,
22/12/2013,חציל חממה ,7,7.4
22/12/2013,מלפפון חממה ,12,
22/12/2013,כרוב לבן,3.8,
22/12/2013,כרוב אדום,6,
22/12/2013,שומר,4,
22/12/2013,כרובית,4,4.5
22/12/2013,קישואים איכות מעולה,12,13
22/12/2013,חסה 8 יחידות,34,36
22/12/2013,מילון גליה מעולה,6,7
22/12/2013,מילון כתום,5.5,6
22/12/2013,צנון,3,
22/12/2013,סלק איכות מעולה,4,
22/12/2013,לפת איכות מעולה,5,
22/12/2013,דלעת,3,
22/12/2013,דלורית,3.5,
22/12/2013,בטטות,3.5,
22/12/2013,בטטות איכות מעולה,5.5,6
22/12/2013,ברוקולי באריזה קמעונאית,13,
22/12/2013,קולורבי איכות מעולה,4.5,
22/12/2013,שעועית ירוקה,12,
22/12/2013,לוף,7.6,8.6
22/12/2013,בצל ירוק,4.5,
22/12/2013,תירס באריזה קמעונאית,6.5,7
22/12/2013,ארטישוק,9.5,10
19/12/2013,עגבניות חממה ,3.6,4
19/12/2013,עגבניות באשכולות ,4.2,4.5
19/12/2013,עגבניות שרי באשכולות,5.8,6
19/12/2013,"תפוא""ד שקים",4.2,4.4
19/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
19/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
19/12/2013,"תפוא""ד אדום בשקים",4.8,5
19/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
19/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
19/12/2013,גזר בשקים,1.8,2
19/12/2013,גזר באריזה קמעונאית,2.2,2.4
19/12/2013,בצל ריברסייד,3.6,3.8
19/12/2013,בצל אדום,4.4,4.6
19/12/2013,בצל בית אלפא,3,3.2
19/12/2013,שום,20,
19/12/2013,פלפל ירוק מזני בלוקי,4,4.4
19/12/2013,פלפל בהיר,4.8,5.2
19/12/2013,פלפל אדום איכות מעולה,4.6,5
19/12/2013,פלפל כתום,5.2,5.5
19/12/2013,פלפל צהוב איכות מעולה,4.6,5
19/12/2013,פלפל חריף,4,
19/12/2013,חציל חממה ,6.4,6.8
19/12/2013,מלפפון חממה ,12,
19/12/2013,כרוב לבן,3.2,
19/12/2013,כרוב אדום,6,
19/12/2013,שומר,4,
19/12/2013,כרובית,4.5,5
19/12/2013,קישואים איכות מעולה,14,16
19/12/2013,חסה 8 יחידות,34,36
19/12/2013,מילון גליה מעולה,6,6.5
19/12/2013,מילון כתום,5.5,6
19/12/2013,צנון,3,
19/12/2013,סלק איכות מעולה,4,
19/12/2013,לפת איכות מעולה,5.5,
19/12/2013,דלעת,3.5,
19/12/2013,דלורית,3.5,
19/12/2013,בטטות,3.5,
19/12/2013,בטטות איכות מעולה,5.5,6
19/12/2013,ברוקולי באריזה קמעונאית,12,
19/12/2013,קולורבי איכות מעולה,4,
19/12/2013,שעועית ירוקה,10,
19/12/2013,לוף,7.6,8.6
19/12/2013,בצל ירוק,4.5,
19/12/2013,תירס באריזה קמעונאית,6.5,7
19/12/2013,ארטישוק,9,9.5
18/12/2013,עגבניות חממה ,3.2,3.6
18/12/2013,עגבניות באשכולות ,3.4,3.8
18/12/2013,עגבניות שרי באשכולות,5.6,5.8
18/12/2013,"תפוא""ד שקים",4.2,4.4
18/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
18/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
18/12/2013,"תפוא""ד אדום בשקים",4.8,5
18/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
18/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
18/12/2013,גזר בשקים,1.8,2
18/12/2013,גזר באריזה קמעונאית,2.2,2.4
18/12/2013,בצל ריברסייד,3.6,3.8
18/12/2013,בצל אדום,4.4,4.6
18/12/2013,בצל בית אלפא,3,3.2
18/12/2013,שום,20,
18/12/2013,פלפל ירוק מזני בלוקי,4.4,4.8
18/12/2013,פלפל בהיר,4.8,5.2
18/12/2013,פלפל אדום איכות מעולה,4.6,5
18/12/2013,פלפל כתום,5,5.5
18/12/2013,פלפל צהוב איכות מעולה,4.6,5
18/12/2013,פלפל חריף,5,
18/12/2013,חציל חממה ,5.8,6.2
18/12/2013,מלפפון חממה ,8,
18/12/2013,כרוב לבן,3.2,
18/12/2013,כרוב אדום,6,
18/12/2013,שומר,4.4,
18/12/2013,כרובית,3,3.5
18/12/2013,קישואים איכות מעולה,12,14
18/12/2013,חסה 8 יחידות,30,32
18/12/2013,מילון גליה מעולה,6,6.5
18/12/2013,מילון כתום,5.5,6
18/12/2013,צנון,3.5,
18/12/2013,סלק איכות מעולה,4.5,
18/12/2013,לפת איכות מעולה,6,
18/12/2013,דלעת,3.5,
18/12/2013,דלורית,3.5,
18/12/2013,בטטות,3.5,
18/12/2013,בטטות איכות מעולה,5.5,6
18/12/2013,ברוקולי באריזה קמעונאית,12,
18/12/2013,קולורבי איכות מעולה,4.6,
18/12/2013,שעועית ירוקה,12,
18/12/2013,לוף,7.6,8.6
18/12/2013,בצל ירוק,4.5,
18/12/2013,תירס באריזה קמעונאית,6.5,7
18/12/2013,ארטישוק,9,9.5
17/12/2013,עגבניות חממה ,3.6,4
17/12/2013,עגבניות באשכולות ,3.8,4.2
17/12/2013,עגבניות שרי באשכולות,5.4,5.8
17/12/2013,"תפוא""ד שקים",4.2,4.4
17/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
17/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
17/12/2013,"תפוא""ד אדום בשקים",4.8,5
17/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
17/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
17/12/2013,גזר בשקים,1.5,1.7
17/12/2013,גזר באריזה קמעונאית,2,2.2
17/12/2013,בצל ריברסייד,3.6,3.8
17/12/2013,בצל אדום,4.4,4.6
17/12/2013,בצל בית אלפא,3,3.2
17/12/2013,שום,20,
17/12/2013,פלפל ירוק מזני בלוקי,4.4,4.8
17/12/2013,פלפל בהיר,4.8,5.2
17/12/2013,פלפל אדום איכות מעולה,4.6,5
17/12/2013,פלפל כתום,4.6,5
17/12/2013,פלפל צהוב איכות מעולה,4.6,5
17/12/2013,פלפל חריף,6.5,
17/12/2013,חציל חממה ,5.2,5.5
17/12/2013,מלפפון חממה ,7,
17/12/2013,כרוב לבן,3.6,
17/12/2013,כרוב אדום,6,
17/12/2013,שומר,5,
17/12/2013,כרובית,3,3.5
17/12/2013,קישואים איכות מעולה,11,13
17/12/2013,חסה 8 יחידות,30,32
17/12/2013,מילון גליה מעולה,6,6.5
17/12/2013,מילון כתום,5.5,6
17/12/2013,צנון,4,
17/12/2013,סלק איכות מעולה,5,
17/12/2013,לפת איכות מעולה,6,
17/12/2013,דלעת,3.5,
17/12/2013,דלורית,3.5,
17/12/2013,בטטות,3.5,
17/12/2013,בטטות איכות מעולה,5.5,
17/12/2013,ברוקולי באריזה קמעונאית,12,
17/12/2013,קולורבי איכות מעולה,5,
17/12/2013,שעועית ירוקה,12,
17/12/2013,לוף,8,9
17/12/2013,בצל ירוק,5,
17/12/2013,תירס באריזה קמעונאית,6,6.5
17/12/2013,ארטישוק,9,9.5
16/12/2013,עגבניות חממה ,4.2,4.5
16/12/2013,עגבניות באשכולות ,4.4,4.8
16/12/2013,עגבניות שרי באשכולות,5.4,5.8
16/12/2013,"תפוא""ד שקים",4.2,4.4
16/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
16/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
16/12/2013,"תפוא""ד אדום בשקים",4.8,5
16/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
16/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
16/12/2013,גזר בשקים,1.5,1.7
16/12/2013,גזר באריזה קמעונאית,1.8,2
16/12/2013,בצל ריברסייד,3.6,3.8
16/12/2013,בצל אדום,4.4,4.6
16/12/2013,בצל בית אלפא,3,3.2
16/12/2013,שום,20,
16/12/2013,פלפל ירוק מזני בלוקי,4.4,4.8
16/12/2013,פלפל בהיר,4.8,5.2
16/12/2013,פלפל אדום איכות מעולה,4.6,5
16/12/2013,פלפל כתום,4.6,5
16/12/2013,פלפל צהוב איכות מעולה,4.6,5
16/12/2013,פלפל חריף,7,
16/12/2013,חציל חממה ,5.2,5.5
16/12/2013,מלפפון חממה ,7.5,
16/12/2013,כרוב לבן,4.6,
16/12/2013,כרוב אדום,6,
16/12/2013,שומר,6,
16/12/2013,כרובית,4,4.4
16/12/2013,קישואים איכות מעולה,12,14
16/12/2013,חסה 8 יחידות,30,32
16/12/2013,מילון גליה מעולה,6,6.5
16/12/2013,מילון כתום,5.5,6
16/12/2013,צנון,4.5,
16/12/2013,סלק איכות מעולה,5.5,
16/12/2013,לפת איכות מעולה,6,
16/12/2013,דלעת,3.5,
16/12/2013,דלורית,3.5,
16/12/2013,בטטות,3.5,
16/12/2013,בטטות איכות מעולה,5.5,
16/12/2013,ברוקולי באריזה קמעונאית,12,
16/12/2013,קולורבי איכות מעולה,6,
16/12/2013,שעועית ירוקה,12,
16/12/2013,לוף,8.4,9.4
16/12/2013,בצל ירוק,5.5,
16/12/2013,תירס באריזה קמעונאית,5,5.5
16/12/2013,ארטישוק,9.5,10
15/12/2013,עגבניות חממה ,4.2,4.5
15/12/2013,עגבניות באשכולות ,4.6,5
15/12/2013,עגבניות שרי באשכולות,5.4,5.8
15/12/2013,"תפוא""ד שקים",4.2,4.4
15/12/2013,"תפוא""ד באריזה קמעונאית",4.5,4.7
15/12/2013,"תפוא""ד באריזה קמעונאית לבן איכות מעולה",4.7,4.9
15/12/2013,"תפוא""ד אדום בשקים",4.8,5
15/12/2013,"תפוא""ד אדום באריזה קמעונאית",5.1,5.3
15/12/2013,"תפוא""ד אדום באריזה קמעונאית איכות מעולה",5.6,5.8
15/12/2013,גזר בשקים,1.5,1.7
15/12/2013,גזר באריזה קמעונאית,1.8,2
15/12/2013,בצל ריברסייד,3.6,3.8
15/12/2013,בצל אדום,4.4,4.6
15/12/2013,בצל בית אלפא,3,3.2
15/12/2013,שום,20,
15/12/2013,פלפל ירוק מזני בלוקי,4.2,4.5
15/12/2013,פלפל בהיר,4.8,5.2
15/12/2013,פלפל אדום איכות מעולה,5,5.5
15/12/2013,פלפל כתום,5,5.5
15/12/2013,פלפל צהוב איכות מעולה,5,5.5
15/12/2013,פלפל חריף,7,
15/12/2013,חציל חממה ,5.2,5.5
15/12/2013,מלפפון חממה ,8.5,
15/12/2013,כרוב לבן,4.6,
15/12/2013,כרוב אדום,6,
15/12/2013,שומר,6,
15/12/2013,כרובית,5,5.5
15/12/2013,קישואים איכות מעולה,12,14
15/12/2013,חסה 8 יחידות,30,32
15/12/2013,מילון גליה מעולה,6.6,7
15/12/2013,מילון כתום,6,6.5
15/12/2013,צנון,4.5,
15/12/2013,סלק איכות מעולה,5.5,
15/12/2013,לפת איכות מעולה,6,
15/12/2013,דלעת,3.5,
15/12/2013,דלורית,3.5,
15/12/2013,בטטות,3.5,
15/12/2013,בטטות איכות מעולה,5.5,
15/12/2013,ברוקולי באריזה קמעונאית,12,
15/12/2013,קולורבי איכות מעולה,6,
15/12/2013,שעועית ירוקה,12,
15/12/2013,לוף,8.4,9.4
15/12/2013,בצל ירוק,5.5,
15/12/2013,תירס באריזה קמעונאית,4.5,5
15/12/2013,ארטישוק,9.5,10
12/12/2013,עגבניות חממה ,4.2,4.5
12/12/2013,עגבניות באשכולות ,4.6,5
